tag_name,published_at,prerelease,author_login
v2.4.0,2020-12-21T01:36:45Z,False,saberkun
v2.3.0,2020-07-31T03:46:14Z,False,saberkun
v2.2.1,2020-07-10T00:12:44Z,False,saberkun
v2.2.0,2020-05-07T02:37:29Z,False,saberkun
v2.1.0,2020-01-30T22:52:14Z,False,saberkun
v2.0,2019-10-15T20:42:02Z,False,saberkun
v1.11,2018-09-01T00:38:11Z,False,angerson
v1.10.0,2018-07-17T22:55:51Z,False,case540
v1.9.0,2018-06-01T20:40:18Z,False,av8ramit
v1.8.1,2018-05-01T16:50:11Z,False,karmel
v1.8.0,2018-04-03T20:17:11Z,False,annarev
v1.7.0,2018-03-20T20:29:53Z,False,annarev
v.1.6.0,2018-02-16T20:49:13Z,False,karmel
v1.4.0,2018-01-25T19:07:39Z,False,karmel
